Country,1900-1949,1950-1979,1980-1999,2000-2025
United States of America,0,0,4,16
Jamaica,0,1,0,2
India,2,5,4,5
Cabo Verde,5,1,3,3
Myanmar,0,0,0,0
Niger,4,1,4,8
Bangladesh,2,1,2,1
Philippines,0,1,5,4
"China, Hong Kong Special Administrative Region",0,5,2,0
Greece,0,0,1,0
Spain,0,0,4,1
Haiti,0,3,3,3
Japan,0,1,0,0
France,0,0,2,1
Burkina Faso,2,3,5,5
Gambia,2,3,1,3
Guinea-Bissau,2,1,1,2
Mali,2,2,2,7
Mauritania,2,4,3,6
Senegal,2,4,1,4
Chad,2,2,3,5
China,2,3,10,27
Taiwan (Province of China),0,0,0,0
Canada,1,2,2,0
Tokelau,0,0,0,0
Netherlands (Kingdom of the),0,0,0,0
Anguilla,1,0,0,0
Germany Federal Republic,0,0,0,0
United Kingdom of Great Britain and Northern Ireland,0,0,0,1
Soviet Union,1,0,0,0
Romania,0,0,0,1
Bahamas,0,0,0,0
Pakistan,0,0,1,1
Cuba,0,0,1,3
Belgium,0,1,0,0
Algeria,0,0,0,0
Poland,0,0,0,1
Puerto Rico,0,0,1,0
Guadeloupe,0,0,0,0
Montserrat,0,0,0,0
Saint Kitts and Nevis,0,0,0,0
Dominican Republic,0,1,0,0
Fiji,0,0,2,1
Belize,0,0,0,0
Honduras,0,2,2,9
Trinidad and Tobago,0,0,0,1
El Salvador,0,0,2,4
Republic of Korea,0,1,0,1
New Zealand,0,0,1,1
New Caledonia,0,0,0,0
Vanuatu,0,0,0,0
Portugal,0,0,2,2
Cook Islands,0,0,0,0
Azores Islands,0,0,0,0
Albania,0,0,1,0
Bermuda,0,0,0,0
R¨¦union,0,0,0,0
T¨¹rkiye,0,0,0,0
Italy,0,0,1,5
Brazil,0,4,5,13
Guatemala,0,0,2,5
Antigua and Barbuda,0,0,1,0
Ecuador,0,1,1,2
Iran (Islamic Republic of),0,1,1,1
Comoros,0,0,0,0
Mexico,0,1,4,2
Morocco,0,2,1,0
Viet Nam,0,0,3,5
South Africa,0,1,5,5
Indonesia,0,3,5,3
Iraq,0,1,1,1
Netherlands Antilles,0,0,0,0
Egypt,0,0,0,0
Nepal,0,4,0,2
Barbados,0,0,0,1
Saint Vincent and the Grenadines,0,0,0,1
Australia,0,5,3,3
Lebanon,0,0,0,0
Dominica,0,0,0,0
Solomon Islands,0,0,2,1
Mozambique,0,1,4,11
Afghanistan,0,2,0,6
Sri Lanka,0,1,5,5
Canary Islands,0,0,0,0
French Polynesia,0,0,0,0
Argentina,0,0,0,4
Niue,0,0,0,0
Colombia,0,0,1,2
Saint Lucia,0,0,0,1
Martinique,0,0,0,0
Mauritius,0,0,1,0
Nicaragua,0,0,2,4
Tonga,0,0,0,1
Somalia,0,3,4,11
Thailand,0,0,2,8
Guam,0,0,0,0
Peru,0,2,3,3
Tunisia,0,1,1,0
Grenada,0,0,0,2
Jordan,0,0,1,1
Paraguay,0,1,1,6
Saudi Arabia,0,0,0,0
Kenya,0,3,5,10
United Republic of Tanzania,0,2,3,5
Panama,0,0,1,3
Yugoslavia,0,0,1,0
Samoa,0,0,0,1
Wallis and Futuna Islands,0,0,0,0
Chile,0,1,1,0
Malaysia,0,0,1,1
Bolivia (Plurinational State of),0,1,5,8
Botswana,0,3,2,3
Ethiopia,0,3,6,9
Togo,0,1,2,0
Mongolia,0,0,0,1
Lao People's Democratic Republic,0,1,3,1
American Samoa,0,0,0,0
Uruguay,0,0,1,3
Malawi,0,0,3,7
Syrian Arab Republic,0,0,1,4
Venezuela (Bolivarian Republic of),0,0,0,1
Uganda,0,2,3,5
Madagascar,0,0,2,8
Ghana,0,2,1,0
Lesotho,0,1,2,7
Suriname,0,0,0,0
Costa Rica,0,1,2,2
Cyprus,0,0,0,1
Benin,0,1,1,0
Yemen Arab Republic,0,2,0,0
Hungary,0,0,2,1
Guyana,0,0,1,1
Cameroon,0,1,1,3
Papua New Guinea,0,0,2,1
Kiribati,0,0,1,0
Tuvalu,0,0,0,2
People's Democratic Republic of Yemen,0,1,0,0
Central African Republic,0,0,1,1
Rwanda,0,1,4,1
Sierra Leone,0,0,0,0
Sudan,0,0,6,4
Zimbabwe,0,0,3,7
Denmark,0,0,1,0
Sweden,0,0,0,0
Austria,0,0,0,0
Switzerland,0,0,0,0
Oman,0,0,0,0
Djibouti,0,0,4,6
Zambia,0,0,3,4
Nigeria,0,0,1,1
Democratic Republic of the Congo,0,1,1,1
C?te d¡¯Ivoire,0,0,1,0
Guinea,0,0,2,0
Liberia,0,0,1,0
Bulgaria,0,0,0,1
Czechoslovakia,0,0,0,0
Angola,0,0,4,6
Namibia,0,0,4,6
Eswatini,0,0,2,4
Ireland,0,0,0,0
Luxembourg,0,0,0,0
Congo,0,0,1,0
