Country,1900-1949,1950-1979,1980-1999,2000-2025
United States of America,36,84,254,378
Jamaica,7,3,5,18
India,14,44,55,106
Cabo Verde,0,0,2,1
Myanmar,4,7,2,13
Niger,0,0,0,1
Bangladesh,12,39,66,71
Philippines,12,77,114,203
"China, Hong Kong Special Administrative Region",4,26,22,16
Greece,1,1,2,7
Spain,1,2,11,18
Haiti,3,5,7,33
Japan,11,53,43,94
France,0,3,28,51
Burkina Faso,0,0,0,0
Gambia,0,0,0,6
Guinea-Bissau,0,0,2,1
Mali,0,0,0,0
Mauritania,0,0,2,1
Senegal,0,0,2,1
Chad,0,1,1,1
China,5,5,109,218
Taiwan (Province of China),2,14,20,58
Canada,2,13,14,27
Tokelau,2,1,2,1
Netherlands (Kingdom of the),0,2,13,14
Anguilla,0,3,1,1
Germany Federal Republic,1,6,3,0
United Kingdom of Great Britain and Northern Ireland,0,3,21,24
Soviet Union,1,0,4,0
Romania,1,0,3,10
Bahamas,4,5,4,14
Pakistan,3,2,12,20
Cuba,6,7,12,32
Belgium,1,3,12,16
Algeria,0,0,1,2
Poland,1,0,4,20
Puerto Rico,2,4,7,12
Guadeloupe,1,5,5,3
Montserrat,1,0,3,0
Saint Kitts and Nevis,1,1,6,2
Dominican Republic,1,4,8,30
Fiji,2,9,14,20
Belize,1,4,1,11
Honduras,1,5,6,20
Trinidad and Tobago,1,2,1,2
El Salvador,1,1,3,19
Republic of Korea,1,11,21,32
New Zealand,0,1,5,12
New Caledonia,2,8,4,2
Vanuatu,1,8,11,12
Portugal,1,1,2,8
Cook Islands,3,1,4,3
Azores Islands,1,0,1,1
Albania,0,0,0,2
Bermuda,1,0,4,1
R¨¦union,1,0,5,9
T¨¹rkiye,0,2,2,10
Italy,1,6,7,24
Brazil,1,3,7,16
Guatemala,0,1,2,21
Antigua and Barbuda,0,3,6,3
Ecuador,0,0,0,2
Iran (Islamic Republic of),0,2,5,12
Comoros,0,1,4,5
Mexico,0,15,33,82
Morocco,0,0,1,3
Viet Nam,0,8,42,97
South Africa,0,1,9,25
Indonesia,0,5,3,8
Iraq,0,0,0,3
Netherlands Antilles,0,2,2,0
